koi_disposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_srad,koi_smass
CANDIDATE,2.42186898,,,,,,,,
CANDIDATE,10.00506974,143.3,1.11,849.0,122.48,11.4,5912.0,0.924,0.884
CONFIRMED,8.689301216,1117.0,2.92,782.0,88.24,70.9,5211.0,0.895,0.817
FALSE POSITIVE,22.84156293,2940.7,30.0,557.0,22.78,47.6,5381.0,0.826,0.858
FALSE POSITIVE,1.890227354,112260.0,42.05,1236.0,551.66,252.0,5356.0,0.78,0.872
CONFIRMED,1.569066598,147.2,1.68,1849.0,2763.39,48.7,5821.0,1.395,1.054
CONFIRMED,8.07127043,318.2,1.53,856.0,126.94,16.9,5766.0,0.853,0.874
FALSE POSITIVE,23.355341391,38524.0,21.55,601.0,30.96,1144.3,5754.0,0.905,1.021
FALSE POSITIVE,0.950735805,175.1,1.39,1908.0,3129.59,17.1,6039.0,1.005,1.108
FALSE POSITIVE,19.4444573,182.3,1.53,749.0,74.47,7.1,6278.0,1.081,1.132
FALSE POSITIVE,2.40435325,349.6,24.16,1359.0,806.18,23.3,5780.0,1.0,1.0
CANDIDATE,25.9136674,109.7,3.37,966.0,205.72,16.1,6167.0,2.346,1.279
CONFIRMED,3.797018259,14431.0,10.07,982.0,219.64,1549.0,5167.0,0.848,0.883
CANDIDATE,75.906736,26.9,0.63,507.0,15.65,9.2,6140.0,1.206,0.941
FALSE POSITIVE,8.268081087,71479.0,50.31,863.0,130.83,1320.5,5749.0,0.922,0.987
CANDIDATE,59.4037839,123.5,1.65,570.0,24.93,17.0,6373.0,1.209,0.961
FALSE POSITIVE,1.302061421,1046.1,92.86,3345.0,29636.26,29.5,7757.0,2.783,1.941
CONFIRMED,4.5620407,81.6,2.82,1533.0,1306.97,22.8,5343.0,2.506,1.33
CANDIDATE,63.095068,496.8,11.67,573.0,25.4,11.4,6622.0,1.325,1.372
CONFIRMED,2.44358543,59.1,0.67,1249.0,574.37,11.9,5561.0,0.873,0.85
